"filename", "language", "Swift", "Markdown", "Shell Script", "YAML", "JSON with Comments", "comment", "blank", "total"
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/ConnectionID.swift", "Swift", 112, 0, 0, 0, 0, 61, 27, 200
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/MTUFramePacker.swift", "Swift", 87, 0, 0, 0, 0, 69, 17, 173
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/PacketCodec.swift", "Swift", 445, 0, 0, 0, 0, 176, 121, 742
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/PacketHeader.swift", "Swift", 484, 0, 0, 0, 0, 253, 115, 852
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/PacketNumber.swift", "Swift", 83, 0, 0, 0, 0, 89, 29, 201
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/Version.swift", "Swift", 98, 0, 0, 0, 0, 32, 32, 162
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/ProtocolLimits.swift", "Swift", 33, 0, 0, 0, 0, 87, 28, 148
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/QLOG/QLOGEvent.swift", "Swift", 203, 0, 0, 0, 0, 77, 81, 361
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/QLOG/QLOGHelpers.swift", "Swift", 143, 0, 0, 0, 0, 17, 16, 176
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/QLOG/QLOGLogger.swift", "Swift", 130, 0, 0, 0, 0, 80, 39, 249
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/QUICCore.docc/QUICCore.md", "Markdown", 0, 36, 0, 0, 0, 0, 20, 56
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/QUICError.swift", "Swift", 155, 0, 0, 0, 0, 63, 61, 279
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/QuiverLogging.swift", "Swift", 35, 0, 0, 0, 0, 43, 6, 84
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/SafeConversions.swift", "Swift", 64, 0, 0, 0, 0, 60, 17, 141
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/TransportParameters.swift", "Swift", 64, 0, 0, 0, 0, 44, 28, 136
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Varint.swift", "Swift", 148, 0, 0, 0, 0, 45, 27, 220
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/AEAD.swift", "Swift", 319, 0, 0, 0, 0, 172, 85, 576
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/ChaCha20Block.swift", "Swift", 82, 0, 0, 0, 0, 65, 28, 175
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/CryptoState.swift", "Swift", 73, 0, 0, 0, 0, 43, 24, 140
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/CryptoStateKeyPhase.swift", "Swift", 196, 0, 0, 0, 0, 82, 50, 328
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/CryptoStream/CryptoBuffer.swift", "Swift", 91, 0, 0, 0, 0, 37, 23, 151
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/CryptoStream/CryptoStream.swift", "Swift", 71, 0, 0, 0, 0, 34, 25, 130
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/CryptoStream/CryptoStreamManager.swift", "Swift", 104, 0, 0, 0, 0, 52, 24, 180
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/InitialSecrets.swift", "Swift", 242, 0, 0, 0, 0, 98, 49, 389
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/KeySchedule/KeySchedule.swift", "Swift", 129, 0, 0, 0, 0, 75, 50, 254
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCrypto/KeyUpdate.swift", "Swift", 143, 0, 0, 0, 0, 95, 52, 290
